PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA
2,1,11,1-1,1,Colombo,කොළඹ,கொழும்பு
2,2,12,1-2,2,Gampaha,ගම්පහ,கம்‍‍ப‍‍ஹா
2,3,13,1-3,3,Kalutara,කඵතර,களுத்து‍றை
3,4,14,2-1,1,Kandy,මහනුවර,கண்டி
3,5,15,2-2,2,Matale,මාතලේ,மாத்த‍‍‍ளை
3,6,16,2-3,3,Nuwara Eliya,නුවරඑළිය,நுவரெலியா
4,7,17,3-1,1,Galle,ගාල්ල,காலி
4,8,18,3-2,2,Matara,මාතර,மாத்தறை
4,9,19,3-3,3,Hambantota,හම්බන්තොට,ஹம்பாந்தோட்‍டை
5,10,20,4-1,1,Jaffna,යාපනය,யாழ்பாணம்
5,11,21,4-2,2,Mannar,මන්නාරම,மன்னார்
5,12,22,4-3,3,Vavuniya,වවුනියා,வவுனியா
5,13,23,4-4,4,Mullaitivu,මුලතිවු,முல்லைத்தீவு
5,14,24,4-5,5,Kilinochchi,කිලිනොච්චි,கிளிநொச்சி
6,15,25,5-1,1,Batticaloa,මඩකලපුව,மட்டக்களப்பு
6,16,26,5-2,2,Ampara,අම්පාර,அம்பா‍‍றை
6,17,27,5-3,3,Trincomalee,ත්‍රිකුණාමළය,திரு‍கோண‍மலை
7,18,28,6-1,1,Kurunegala,කුරුණෑගල,குருணாக‍லை
7,19,29,6-2,2,Puttalam,පුත්තලම,புத்தளம்
8,20,30,7-1,1,Anuradhapura,අනුරාධපුර,அநுராதபுரம்
8,21,31,7-2,2,Polonnaruwa,පොළොන්නරුව,பொலண்ணரு‍வை
9,22,32,8-1,1,Badulla,බදුල්ල,பது‍ளை
9,23,33,8-2,2,Monaragala,මොණරාගල,மொணராக‍லை
10,24,34,9-1,1,Ratnapura,රත්නපුර,இரத்திணபுரி
10,25,35,9-2,2,Kegalle,කෑගල්ල,கேகா‍லை